IGNH3,2022-11-22 12:45:00,0.0,PP
IGNH3,2022-11-22 13:00:00,0.0,PP
IGNH3,2022-11-22 13:00:00,27.49,TAMAX
IGNH3,2022-11-22 13:00:00,29.31,TAMIN
IRAH3,2022-11-22 12:15:00,0.0,PP
IRAH3,2022-11-22 12:30:00,0.0,PP
IRAH3,2022-11-22 12:45:00,0.0,PP
IRAH3,2022-11-22 13:00:00,0.0,PP
JOCH3,2022-11-22 12:15:00,0.0,PP
JOCH3,2022-11-22 12:30:00,0.0,PP
JOCH3,2022-11-22 12:45:00,0.0,PP
JOCH3,2022-11-22 13:00:00,0.0,PP
JOCH3,2022-11-22 13:00:00,28.02,TAMAX
JOCH3,2022-11-22 13:00:00,28.94,TAMIN
JUAH3,2022-11-22 12:15:00,0.0,PP
JUAH3,2022-11-22 12:30:00,0.0,PP
JUAH3,2022-11-22 12:45:00,0.0,PP
JUAH3,2022-11-22 13:00:00,0.0,PP
JUAH3,2022-11-22 13:00:00,28.73,TAMAX
JUAH3,2022-11-22 13:00:00,26.87,TAMIN
LCBH3,2022-11-22 12:15:00,0.0,PP
LCBH3,2022-11-22 12:30:00,0.0,PP
LCBH3,2022-11-22 12:45:00,0.0,PP
LCBH3,2022-11-22 13:00:00,0.0,PP
LCBH3,2022-11-22 13:00:00,27.9,TAMAX
LCBH3,2022-11-22 13:00:00,29.23,TAMIN
LCCH3,2022-11-22 12:15:00,0.0,PP
LCCH3,2022-11-22 12:30:00,0.0,PP
LCCH3,2022-11-22 12:45:00,0.0,PP
LCCH3,2022-11-22 13:00:00,0.0,PP
LEAH3,2022-11-22 12:15:00,0.0,PP
LEAH3,2022-11-22 12:30:00,0.0,PP
LEAH3,2022-11-22 12:45:00,0.0,PP
LEAH3,2022-11-22 13:00:00,0.0,PP
LEAH3,2022-11-22 13:00:00,-5.87,TAMAX
LEAH3,2022-11-22 13:00:00,-4.52,TAMIN
LLAH3,2022-11-22 12:15:00,0.0,PP
LLAH3,2022-11-22 12:30:00,0.0,PP
LLAH3,2022-11-22 12:45:00,0.0,PP
LLAH3,2022-11-22 13:00:00,0.0,PP
MCLH3,2022-11-22 12:15:00,0.0,PP
MCLH3,2022-11-22 12:30:00,0.0,PP
MCLH3,2022-11-22 12:45:00,0.0,PP
NACH3,2022-11-22 12:15:00,0.0,PP
NACH3,2022-11-22 12:30:00,0.0,PP
NACH3,2022-11-22 12:45:00,0.0,PP
NACH3,2022-11-22 13:00:00,0.0,PP
NACH3,2022-11-22 13:00:00,33.93,TAMAX
NACH3,2022-11-22 13:00:00,32.97,TAMIN
PAGH3,2022-11-22 12:15:00,0.0,PP
PAGH3,2022-11-22 12:30:00,0.0,PP
PAGH3,2022-11-22 12:45:00,0.0,PP
PAGH3,2022-11-22 13:00:00,0.0,PP
PESH3,2022-11-22 12:15:00,0.0,PP
PESH3,2022-11-22 12:30:00,0.0,PP
PESH3,2022-11-22 12:45:00,0.0,PP
PESH3,2022-11-22 13:00:00,0.0,PP
PHUH3,2022-11-22 12:15:00,0.0,PP
PHUH3,2022-11-22 12:30:00,0.0,PP
PHUH3,2022-11-22 12:45:00,0.0,PP
PPIH3,2022-11-22 12:15:00,0.0,PP
PPIH3,2022-11-22 12:30:00,0.0,PP
PPIH3,2022-11-22 12:45:00,0.0,PP
PPIH3,2022-11-22 13:00:00,0.0,PP
QUIH3,2022-11-22 12:15:00,0.0,PP
